Energies(kcal/mol): TOTAL_SOLV -8.77203  POLAR_SOLV -10.2517  NONPOLAR_SOLV 1.47968
Energies(kcal/mol): TOTAL_SOLV -2.46551  POLAR_SOLV -4.97627  NONPOLAR_SOLV 2.51076
Energies(kcal/mol): TOTAL_SOLV -1.26009  POLAR_SOLV -2.31398  NONPOLAR_SOLV 1.05389
Energies(kcal/mol): TOTAL_SOLV -8.63446  POLAR_SOLV -11.2232  NONPOLAR_SOLV 2.58871
Energies(kcal/mol): TOTAL_SOLV -1.06763  POLAR_SOLV -6.62676  NONPOLAR_SOLV 5.55914
Energies(kcal/mol): TOTAL_SOLV -4.85324  POLAR_SOLV -5.21788  NONPOLAR_SOLV 0.36464
Energies(kcal/mol): TOTAL_SOLV -4.11541  POLAR_SOLV -5.74394  NONPOLAR_SOLV 1.62853
Energies(kcal/mol): TOTAL_SOLV -1.88323  POLAR_SOLV -3.6048  NONPOLAR_SOLV 1.72157
Energies(kcal/mol): TOTAL_SOLV -4.09853  POLAR_SOLV -4.62899  NONPOLAR_SOLV 0.530464
Energies(kcal/mol): TOTAL_SOLV -6.60331  POLAR_SOLV -7.83325  NONPOLAR_SOLV 1.22994
Energies(kcal/mol): TOTAL_SOLV -6.07437  POLAR_SOLV -7.62317  NONPOLAR_SOLV 1.5488
Energies(kcal/mol): TOTAL_SOLV 2.10258  POLAR_SOLV 0.211565  NONPOLAR_SOLV 1.89102
Energies(kcal/mol): TOTAL_SOLV -1.1428  POLAR_SOLV -2.8151  NONPOLAR_SOLV 1.6723
Energies(kcal/mol): TOTAL_SOLV -3.97233  POLAR_SOLV -6.31939  NONPOLAR_SOLV 2.34706
Energies(kcal/mol): TOTAL_SOLV -6.90094  POLAR_SOLV -8.45016  NONPOLAR_SOLV 1.54922
Energies(kcal/mol): TOTAL_SOLV -2.95555  POLAR_SOLV -5.3453  NONPOLAR_SOLV 2.38975
Energies(kcal/mol): TOTAL_SOLV -14.535  POLAR_SOLV -14.6115  NONPOLAR_SOLV 0.0764997
Energies(kcal/mol): TOTAL_SOLV -1.48027  POLAR_SOLV -4.07727  NONPOLAR_SOLV 2.597
Energies(kcal/mol): TOTAL_SOLV 1.61111  POLAR_SOLV 0.0672484  NONPOLAR_SOLV 1.54386
Energies(kcal/mol): TOTAL_SOLV -3.12268  POLAR_SOLV -3.81271  NONPOLAR_SOLV 0.690021
Energies(kcal/mol): TOTAL_SOLV -8.47757  POLAR_SOLV -9.88656  NONPOLAR_SOLV 1.40899
Energies(kcal/mol): TOTAL_SOLV -3.10353  POLAR_SOLV -5.61696  NONPOLAR_SOLV 2.51343
Energies(kcal/mol): TOTAL_SOLV -1.66702  POLAR_SOLV -3.70649  NONPOLAR_SOLV 2.03947
Energies(kcal/mol): TOTAL_SOLV -0.659066  POLAR_SOLV -1.98016  NONPOLAR_SOLV 1.32109
Energies(kcal/mol): TOTAL_SOLV -2.69889  POLAR_SOLV -4.11923  NONPOLAR_SOLV 1.42034
Energies(kcal/mol): TOTAL_SOLV -5.09518  POLAR_SOLV -5.83769  NONPOLAR_SOLV 0.742512
Energies(kcal/mol): TOTAL_SOLV -2.39959  POLAR_SOLV -3.3992  NONPOLAR_SOLV 0.999603
Energies(kcal/mol): TOTAL_SOLV -0.0591937  POLAR_SOLV -1.48102  NONPOLAR_SOLV 1.42183
Energies(kcal/mol): TOTAL_SOLV -1.10908  POLAR_SOLV -3.59944  NONPOLAR_SOLV 2.49036
Energies(kcal/mol): TOTAL_SOLV 1.01106  POLAR_SOLV -0.524491  NONPOLAR_SOLV 1.53555
Energies(kcal/mol): TOTAL_SOLV -3.43992  POLAR_SOLV -5.5465  NONPOLAR_SOLV 2.10658
Energies(kcal/mol): TOTAL_SOLV 1.65253  POLAR_SOLV 0.0707505  NONPOLAR_SOLV 1.58178
Energies(kcal/mol): TOTAL_SOLV -6.67682  POLAR_SOLV -7.75509  NONPOLAR_SOLV 1.07828
Energies(kcal/mol): TOTAL_SOLV -3.37697  POLAR_SOLV -5.18155  NONPOLAR_SOLV 1.80458
Energies(kcal/mol): TOTAL_SOLV 0.156644  POLAR_SOLV -1.72553  NONPOLAR_SOLV 1.88217
Energies(kcal/mol): TOTAL_SOLV -1.45384  POLAR_SOLV -2.00491  NONPOLAR_SOLV 0.551068
Energies(kcal/mol): TOTAL_SOLV -10.4415  POLAR_SOLV -11.2998  NONPOLAR_SOLV 0.858335
Energies(kcal/mol): TOTAL_SOLV -3.96606  POLAR_SOLV -6.23936  NONPOLAR_SOLV 2.2733
Energies(kcal/mol): TOTAL_SOLV -0.50481  POLAR_SOLV -1.86139  NONPOLAR_SOLV 1.35658
Energies(kcal/mol): TOTAL_SOLV -3.37015  POLAR_SOLV -5.41704  NONPOLAR_SOLV 2.04689
Energies(kcal/mol): TOTAL_SOLV -8.87611  POLAR_SOLV -10.776  NONPOLAR_SOLV 1.89988
Energies(kcal/mol): TOTAL_SOLV -1.483  POLAR_SOLV -2.38154  NONPOLAR_SOLV 0.898547
Energies(kcal/mol): TOTAL_SOLV -3.06939  POLAR_SOLV -5.03485  NONPOLAR_SOLV 1.96545
Energies(kcal/mol): TOTAL_SOLV -10.1103  POLAR_SOLV -10.8665  NONPOLAR_SOLV 0.756228
Energies(kcal/mol): TOTAL_SOLV -2.56543  POLAR_SOLV -3.51882  NONPOLAR_SOLV 0.953392
Energies(kcal/mol): TOTAL_SOLV -8.03108  POLAR_SOLV -10.0753  NONPOLAR_SOLV 2.04426
Energies(kcal/mol): TOTAL_SOLV -0.349646  POLAR_SOLV -1.64483  NONPOLAR_SOLV 1.29519
Energies(kcal/mol): TOTAL_SOLV 1.98156  POLAR_SOLV 0.154933  NONPOLAR_SOLV 1.82662
Energies(kcal/mol): TOTAL_SOLV -4.53348  POLAR_SOLV -6.15259  NONPOLAR_SOLV 1.61911
Energies(kcal/mol): TOTAL_SOLV -2.45609  POLAR_SOLV -5.12737  NONPOLAR_SOLV 2.67128
Energies(kcal/mol): TOTAL_SOLV -12.4096  POLAR_SOLV -15.594  NONPOLAR_SOLV 3.18443
Energies(kcal/mol): TOTAL_SOLV -3.86993  POLAR_SOLV -4.85501  NONPOLAR_SOLV 0.985081
Energies(kcal/mol): TOTAL_SOLV 1.48008  POLAR_SOLV 0.0151364  NONPOLAR_SOLV 1.46494
Energies(kcal/mol): TOTAL_SOLV -11.5857  POLAR_SOLV -13.4508  NONPOLAR_SOLV 1.86511
Energies(kcal/mol): TOTAL_SOLV -7.97495  POLAR_SOLV -8.92395  NONPOLAR_SOLV 0.949004
Energies(kcal/mol): TOTAL_SOLV -5.86396  POLAR_SOLV -6.54574  NONPOLAR_SOLV 0.681781
Energies(kcal/mol): TOTAL_SOLV -4.4369  POLAR_SOLV -5.77485  NONPOLAR_SOLV 1.33794
Energies(kcal/mol): TOTAL_SOLV -2.46412  POLAR_SOLV -4.34976  NONPOLAR_SOLV 1.88564
Energies(kcal/mol): TOTAL_SOLV -0.874482  POLAR_SOLV -2.11678  NONPOLAR_SOLV 1.24229
Energies(kcal/mol): TOTAL_SOLV 0.570815  POLAR_SOLV -0.0958908  NONPOLAR_SOLV 0.666706
Energies(kcal/mol): TOTAL_SOLV 2.02104  POLAR_SOLV -0.0533545  NONPOLAR_SOLV 2.0744
Energies(kcal/mol): TOTAL_SOLV -3.06908  POLAR_SOLV -5.48553  NONPOLAR_SOLV 2.41645
Energies(kcal/mol): TOTAL_SOLV -2.30341  POLAR_SOLV -2.58342  NONPOLAR_SOLV 0.280003
Energies(kcal/mol): TOTAL_SOLV -0.467855  POLAR_SOLV -1.43156  NONPOLAR_SOLV 0.963709
Energies(kcal/mol): TOTAL_SOLV -11.3067  POLAR_SOLV -15.1399  NONPOLAR_SOLV 3.83321
Energies(kcal/mol): TOTAL_SOLV -1.96137  POLAR_SOLV -4.96566  NONPOLAR_SOLV 3.00428
Energies(kcal/mol): TOTAL_SOLV -0.974012  POLAR_SOLV -1.54287  NONPOLAR_SOLV 0.568858
Energies(kcal/mol): TOTAL_SOLV -1.33595  POLAR_SOLV -9.18681  NONPOLAR_SOLV 7.85086
Energies(kcal/mol): TOTAL_SOLV -6.45692  POLAR_SOLV -7.46281  NONPOLAR_SOLV 1.00589
Energies(kcal/mol): TOTAL_SOLV -1.87864  POLAR_SOLV -3.00695  NONPOLAR_SOLV 1.12831
Energies(kcal/mol): TOTAL_SOLV -0.142394  POLAR_SOLV -2.02719  NONPOLAR_SOLV 1.8848
Energies(kcal/mol): TOTAL_SOLV -10.0667  POLAR_SOLV -11.1923  NONPOLAR_SOLV 1.12561
Energies(kcal/mol): TOTAL_SOLV -0.618273  POLAR_SOLV -1.84071  NONPOLAR_SOLV 1.22244
Energies(kcal/mol): TOTAL_SOLV -8.83909  POLAR_SOLV -11.5802  NONPOLAR_SOLV 2.74114
Energies(kcal/mol): TOTAL_SOLV -2.18746  POLAR_SOLV -4.21538  NONPOLAR_SOLV 2.02792
Energies(kcal/mol): TOTAL_SOLV -3.53496  POLAR_SOLV -5.80366  NONPOLAR_SOLV 2.2687
Energies(kcal/mol): TOTAL_SOLV 1.46128  POLAR_SOLV -0.257067  NONPOLAR_SOLV 1.71835
Energies(kcal/mol): TOTAL_SOLV 1.77524  POLAR_SOLV 0.129216  NONPOLAR_SOLV 1.64602
Energies(kcal/mol): TOTAL_SOLV -2.83453  POLAR_SOLV -5.35785  NONPOLAR_SOLV 2.52332
Energies(kcal/mol): TOTAL_SOLV -3.31771  POLAR_SOLV -4.97593  NONPOLAR_SOLV 1.65822
Energies(kcal/mol): TOTAL_SOLV -3.07296  POLAR_SOLV -3.90208  NONPOLAR_SOLV 0.829114
Energies(kcal/mol): TOTAL_SOLV -6.16895  POLAR_SOLV -6.20627  NONPOLAR_SOLV 0.0373179
Energies(kcal/mol): TOTAL_SOLV -1.85769  POLAR_SOLV -2.52866  NONPOLAR_SOLV 0.670972
Energies(kcal/mol): TOTAL_SOLV -0.445752  POLAR_SOLV -1.82125  NONPOLAR_SOLV 1.3755
Energies(kcal/mol): TOTAL_SOLV 4.47214  POLAR_SOLV -1.41823  NONPOLAR_SOLV 5.89038
Energies(kcal/mol): TOTAL_SOLV 2.0221  POLAR_SOLV 0.120894  NONPOLAR_SOLV 1.9012
Energies(kcal/mol): TOTAL_SOLV -2.10614  POLAR_SOLV -3.89943  NONPOLAR_SOLV 1.7933
Energies(kcal/mol): TOTAL_SOLV -13.5462  POLAR_SOLV -16.8171  NONPOLAR_SOLV 3.27088
Energies(kcal/mol): TOTAL_SOLV -3.93218  POLAR_SOLV -5.67995  NONPOLAR_SOLV 1.74778
Energies(kcal/mol): TOTAL_SOLV -4.43083  POLAR_SOLV -5.51113  NONPOLAR_SOLV 1.0803
Energies(kcal/mol): TOTAL_SOLV -4.85333  POLAR_SOLV -5.66981  NONPOLAR_SOLV 0.816477
Energies(kcal/mol): TOTAL_SOLV 0.617458  POLAR_SOLV -0.182576  NONPOLAR_SOLV 0.800034
Energies(kcal/mol): TOTAL_SOLV -11.4966  POLAR_SOLV -14.6202  NONPOLAR_SOLV 3.12365
Energies(kcal/mol): TOTAL_SOLV -4.67183  POLAR_SOLV -5.65893  NONPOLAR_SOLV 0.987095
Energies(kcal/mol): TOTAL_SOLV -1.44184  POLAR_SOLV -3.52592  NONPOLAR_SOLV 2.08408
Energies(kcal/mol): TOTAL_SOLV 0.2649  POLAR_SOLV -2.16237  NONPOLAR_SOLV 2.42727
Energies(kcal/mol): TOTAL_SOLV -0.7507  POLAR_SOLV -2.37316  NONPOLAR_SOLV 1.62246
Energies(kcal/mol): TOTAL_SOLV -4.5401  POLAR_SOLV -5.63257  NONPOLAR_SOLV 1.09247
Energies(kcal/mol): TOTAL_SOLV -2.79182  POLAR_SOLV -5.00923  NONPOLAR_SOLV 2.21741
Energies(kcal/mol): TOTAL_SOLV -6.74756  POLAR_SOLV -7.72501  NONPOLAR_SOLV 0.97745
Energies(kcal/mol): TOTAL_SOLV -1.18758  POLAR_SOLV -2.97885  NONPOLAR_SOLV 1.79127
Energies(kcal/mol): TOTAL_SOLV -0.0157712  POLAR_SOLV -1.77602  NONPOLAR_SOLV 1.76025
Energies(kcal/mol): TOTAL_SOLV -1.09255  POLAR_SOLV -2.37158  NONPOLAR_SOLV 1.27903
Energies(kcal/mol): TOTAL_SOLV -2.82323  POLAR_SOLV -3.67234  NONPOLAR_SOLV 0.849107
Energies(kcal/mol): TOTAL_SOLV -1.60778  POLAR_SOLV -4.07353  NONPOLAR_SOLV 2.46575
Energies(kcal/mol): TOTAL_SOLV -3.05076  POLAR_SOLV -3.32408  NONPOLAR_SOLV 0.273316
Energies(kcal/mol): TOTAL_SOLV -1.13523  POLAR_SOLV -2.24857  NONPOLAR_SOLV 1.11334
Energies(kcal/mol): TOTAL_SOLV -6.25508  POLAR_SOLV -8.52391  NONPOLAR_SOLV 2.26883
Energies(kcal/mol): TOTAL_SOLV -1.03062  POLAR_SOLV -2.18241  NONPOLAR_SOLV 1.1518
Energies(kcal/mol): TOTAL_SOLV -3.1669  POLAR_SOLV -5.64204  NONPOLAR_SOLV 2.47514
Energies(kcal/mol): TOTAL_SOLV 0.848056  POLAR_SOLV -0.511466  NONPOLAR_SOLV 1.35952
Energies(kcal/mol): TOTAL_SOLV -3.56305  POLAR_SOLV -4.18168  NONPOLAR_SOLV 0.618623
Energies(kcal/mol): TOTAL_SOLV -2.61822  POLAR_SOLV -4.35629  NONPOLAR_SOLV 1.73806
Energies(kcal/mol): TOTAL_SOLV -9.98647  POLAR_SOLV -11.396  NONPOLAR_SOLV 1.40953
Energies(kcal/mol): TOTAL_SOLV -3.61376  POLAR_SOLV -4.64444  NONPOLAR_SOLV 1.03069
Energies(kcal/mol): TOTAL_SOLV -8.57308  POLAR_SOLV -11.5133  NONPOLAR_SOLV 2.94024
Energies(kcal/mol): TOTAL_SOLV -4.13109  POLAR_SOLV -5.90741  NONPOLAR_SOLV 1.77632
Energies(kcal/mol): TOTAL_SOLV -2.3227  POLAR_SOLV -4.71811  NONPOLAR_SOLV 2.3954
Energies(kcal/mol): TOTAL_SOLV -4.07714  POLAR_SOLV -6.63785  NONPOLAR_SOLV 2.56071
Energies(kcal/mol): TOTAL_SOLV -0.668389  POLAR_SOLV -2.19038  NONPOLAR_SOLV 1.52199
Energies(kcal/mol): TOTAL_SOLV -0.664575  POLAR_SOLV -1.97733  NONPOLAR_SOLV 1.31276
Energies(kcal/mol): TOTAL_SOLV -4.8117  POLAR_SOLV -6.1959  NONPOLAR_SOLV 1.3842
Energies(kcal/mol): TOTAL_SOLV -3.73793  POLAR_SOLV -5.61173  NONPOLAR_SOLV 1.8738
Energies(kcal/mol): TOTAL_SOLV -1.74743  POLAR_SOLV -3.35706  NONPOLAR_SOLV 1.60963
Energies(kcal/mol): TOTAL_SOLV -13.2002  POLAR_SOLV -15.9728  NONPOLAR_SOLV 2.77257
Energies(kcal/mol): TOTAL_SOLV -9.38565  POLAR_SOLV -12.9389  NONPOLAR_SOLV 3.55322
Energies(kcal/mol): TOTAL_SOLV -9.74607  POLAR_SOLV -10.4606  NONPOLAR_SOLV 0.714515
Energies(kcal/mol): TOTAL_SOLV -1.58054  POLAR_SOLV -4.69907  NONPOLAR_SOLV 3.11853
Energies(kcal/mol): TOTAL_SOLV -6.95821  POLAR_SOLV -7.36281  NONPOLAR_SOLV 0.404596
Energies(kcal/mol): TOTAL_SOLV 1.14822  POLAR_SOLV -0.380184  NONPOLAR_SOLV 1.5284
Energies(kcal/mol): TOTAL_SOLV -1.60927  POLAR_SOLV -3.60371  NONPOLAR_SOLV 1.99444
Energies(kcal/mol): TOTAL_SOLV -1.29128  POLAR_SOLV -4.00415  NONPOLAR_SOLV 2.71287
Energies(kcal/mol): TOTAL_SOLV -8.47179  POLAR_SOLV -8.97926  NONPOLAR_SOLV 0.507474
Energies(kcal/mol): TOTAL_SOLV 1.41807  POLAR_SOLV -0.00592429  NONPOLAR_SOLV 1.42399
Energies(kcal/mol): TOTAL_SOLV -1.79792  POLAR_SOLV -2.75075  NONPOLAR_SOLV 0.95283
Energies(kcal/mol): TOTAL_SOLV -1.28965  POLAR_SOLV -3.0532  NONPOLAR_SOLV 1.76356
Energies(kcal/mol): TOTAL_SOLV -0.44697  POLAR_SOLV -1.60636  NONPOLAR_SOLV 1.15939
Energies(kcal/mol): TOTAL_SOLV -3.47201  POLAR_SOLV -5.84628  NONPOLAR_SOLV 2.37427
Energies(kcal/mol): TOTAL_SOLV -7.21626  POLAR_SOLV -8.79965  NONPOLAR_SOLV 1.58339
Energies(kcal/mol): TOTAL_SOLV -14.4987  POLAR_SOLV -15.5131  NONPOLAR_SOLV 1.01443
Energies(kcal/mol): TOTAL_SOLV -9.36967  POLAR_SOLV -10.5872  NONPOLAR_SOLV 1.21748
Energies(kcal/mol): TOTAL_SOLV -6.13394  POLAR_SOLV -7.03793  NONPOLAR_SOLV 0.903983
Energies(kcal/mol): TOTAL_SOLV -0.963932  POLAR_SOLV -3.0276  NONPOLAR_SOLV 2.06367
Energies(kcal/mol): TOTAL_SOLV -2.73629  POLAR_SOLV -5.16239  NONPOLAR_SOLV 2.4261
Energies(kcal/mol): TOTAL_SOLV -13.3025  POLAR_SOLV -14.6925  NONPOLAR_SOLV 1.38996
Energies(kcal/mol): TOTAL_SOLV 0.341238  POLAR_SOLV -0.913979  NONPOLAR_SOLV 1.25522
Energies(kcal/mol): TOTAL_SOLV -0.510353  POLAR_SOLV -2.45502  NONPOLAR_SOLV 1.94467
Energies(kcal/mol): TOTAL_SOLV -7.81272  POLAR_SOLV -8.7903  NONPOLAR_SOLV 0.977587
Energies(kcal/mol): TOTAL_SOLV 2.27296  POLAR_SOLV -2.19085  NONPOLAR_SOLV 4.46381
Energies(kcal/mol): TOTAL_SOLV -1.02436  POLAR_SOLV -3.226  NONPOLAR_SOLV 2.20164
Energies(kcal/mol): TOTAL_SOLV -4.80479  POLAR_SOLV -6.57565  NONPOLAR_SOLV 1.77086
Energies(kcal/mol): TOTAL_SOLV -1.99049  POLAR_SOLV -3.15187  NONPOLAR_SOLV 1.16137
Energies(kcal/mol): TOTAL_SOLV -8.56724  POLAR_SOLV -9.17917  NONPOLAR_SOLV 0.611929
Energies(kcal/mol): TOTAL_SOLV -8.08543  POLAR_SOLV -9.90731  NONPOLAR_SOLV 1.82188
Energies(kcal/mol): TOTAL_SOLV -10.3665  POLAR_SOLV -12.0622  NONPOLAR_SOLV 1.69575
Energies(kcal/mol): TOTAL_SOLV -0.71762  POLAR_SOLV -2.02707  NONPOLAR_SOLV 1.30945
Energies(kcal/mol): TOTAL_SOLV -6.18094  POLAR_SOLV -7.27916  NONPOLAR_SOLV 1.09821
Energies(kcal/mol): TOTAL_SOLV 2.0583  POLAR_SOLV 0.164653  NONPOLAR_SOLV 1.89364
Energies(kcal/mol): TOTAL_SOLV -0.0573504  POLAR_SOLV -2.24331  NONPOLAR_SOLV 2.18596
Energies(kcal/mol): TOTAL_SOLV -14.3775  POLAR_SOLV -16.9167  NONPOLAR_SOLV 2.53919
Energies(kcal/mol): TOTAL_SOLV -2.56556  POLAR_SOLV -4.22392  NONPOLAR_SOLV 1.65836
Energies(kcal/mol): TOTAL_SOLV -1.10167  POLAR_SOLV -4.58663  NONPOLAR_SOLV 3.48496
Energies(kcal/mol): TOTAL_SOLV -1.35785  POLAR_SOLV -3.32081  NONPOLAR_SOLV 1.96296
Energies(kcal/mol): TOTAL_SOLV 0.585219  POLAR_SOLV -1.32061  NONPOLAR_SOLV 1.90582
Energies(kcal/mol): TOTAL_SOLV 1.30243  POLAR_SOLV -0.295268  NONPOLAR_SOLV 1.5977
Energies(kcal/mol): TOTAL_SOLV -0.0404574  POLAR_SOLV -2.06299  NONPOLAR_SOLV 2.02253
Energies(kcal/mol): TOTAL_SOLV -1.92649  POLAR_SOLV -2.70901  NONPOLAR_SOLV 0.782513
Energies(kcal/mol): TOTAL_SOLV -0.738881  POLAR_SOLV -1.65559  NONPOLAR_SOLV 0.916705
Energies(kcal/mol): TOTAL_SOLV -6.35964  POLAR_SOLV -6.82159  NONPOLAR_SOLV 0.461959
Energies(kcal/mol): TOTAL_SOLV -2.09576  POLAR_SOLV -4.19144  NONPOLAR_SOLV 2.09568
Energies(kcal/mol): TOTAL_SOLV -2.76143  POLAR_SOLV -4.99609  NONPOLAR_SOLV 2.23466
Energies(kcal/mol): TOTAL_SOLV -3.34501  POLAR_SOLV -3.98994  NONPOLAR_SOLV 0.644929
Energies(kcal/mol): TOTAL_SOLV -4.30028  POLAR_SOLV -5.6983  NONPOLAR_SOLV 1.39801
Energies(kcal/mol): TOTAL_SOLV -5.65252  POLAR_SOLV -8.14452  NONPOLAR_SOLV 2.492
Energies(kcal/mol): TOTAL_SOLV -16.9629  POLAR_SOLV -21.5107  NONPOLAR_SOLV 4.54783
Energies(kcal/mol): TOTAL_SOLV -4.98532  POLAR_SOLV -7.33305  NONPOLAR_SOLV 2.34772
Energies(kcal/mol): TOTAL_SOLV -3.07936  POLAR_SOLV -4.36905  NONPOLAR_SOLV 1.28969
Energies(kcal/mol): TOTAL_SOLV -5.01443  POLAR_SOLV -6.10683  NONPOLAR_SOLV 1.09241
Energies(kcal/mol): TOTAL_SOLV -6.15884  POLAR_SOLV -6.71541  NONPOLAR_SOLV 0.556565
